iter	Passed	Remaining
146	14433	181940
147	14516	181657
148	14627	181711
149	14727	181636
150	14825	181534
151	14917	181366
152	15007	181174
153	15100	181015
154	15194	180869
155	15302	180884
156	15400	180779
157	15467	180319
158	15558	180144
159	15672	180232
160	15748	179880
161	15835	179663
162	15930	179534
163	16041	179591
164	16117	179243
165	16216	179162
166	16272	178608
167	16363	178444
168	16455	178289
169	16550	178163
170	16660	178197
171	16758	178110
172	16855	178005
173	16956	177941
174	17048	177788
175	17124	177467
176	17208	177241
177	17286	176948
178	17368	176694
179	17477	176715
180	17576	176634
181	17671	176525
182	17735	176094
183	17820	175879
184	17856	175183
185	17924	174812
186	18059	175093
187	18213	175545
188	18320	175543
189	18416	175441
190	18511	175330
191	18631	175451
192	18748	175533
193	18841	175402
194	18947	175383
195	19034	175195
196	19140	175175
197	19326	175888
198	19436	175901
199	19549	175941
200	19634	175734
201	19729	175611
202	19812	175387
203	19906	175252
204	19953	174718
205	20071	174801
206	20171	174724
207	20267	174612
208	20375	174602
209	20495	174703
210	20598	174648
211	20698	174573
212	20796	174478
213	20890	174345
214	20981	174198
215	21076	174073
216	21165	173909
217	21247	173687
218	21284	173097
219	21331	172594
220	21427	172486
221	21550	172599
222	21676	172729
223	21798	172832
224	21927	172983
225	22055	173123
226	22122	172789
227	22224	172729
228	22351	172857
229	22440	172692
230	22543	172636
231	22655	172649
232	22750	172535
233	22790	171997
234	22868	171758
235	22959	171613
236	23050	171467
237	23078	170855
238	23170	170724
239	23261	170584
240	23378	170633
241	23502	170730
242	23657	171056
243	23857	171698
244	23950	171564
245	24058	171541
246	24185	171646
247	24297	171647
248	24370	171378
249	24459	171215
250	24544	171030
251	24650	170988
252	24747	170883
253	24853	170844
254	24946	170712
255	25052	170673
256	25143	170527
257	25221	170293
258	25310	170135
259	25333	169540
260	25415	169336
261	25475	168991
262	25563	168834
263	25666	168777
264	25745	168557
265	25783	168075
266	25872	167929
267	25917	167499
268	25997	167289
269	26066	167018
270	26151	166846
271	26241	166711
272	26353	166710
273	26451	166622
274	26545	166515
275	26645	166437
276	26734	166295
277	26846	166290
278	26960	166305
279	27069	166285
280	27169	166205
281	27265	166109
282	27395	166214
283	27516	166263
284	27656	166425
285	27773	166443
286	27823	166071
287	27917	165954
288	28026	165927
289	28216	166382
290	28322	166334
291	28422	166251
292	28493	166002
293	28614	166042
294	28726	166027
295	28886	166294
296	29067	166672
297	29114	166286
298	29222	166244
299	29317	166134
300	29406	165983
301	29510	165923
302	29608	165826
303	29643	165377
304	29719	165165
305	29826	165118
306	29953	165185
307	30103	165376
308	30209	165323
309	30326	165329
310	30414	165175
311	30479	164902
312	30530	164554
313	30617	164399
314	30698	164215
315	30781	164039
316	30876	163926
317	30952	163717
318	31051	163629
319	31142	163498
320	31239	163396
321	31339	163315
322	31439	163233
323	31479	162836
324	31563	162674
325	31654	162544
326	31755	162468
327	31867	162447
328	31946	162259
329	31994	161912
330	32098	161850
331	32222	161888
332	32318	161786
333	32467	161950
334	32546	161759
335	32715	162017
336	32863	162172
337	32978	162161
338	33066	162013
339	33154	161870
340	33279	161909
341	33355	161706
342	33396	161335
343	33475	161151
344	33574	161058
345	33646	160841
346	33720	160633
347	33753	160232
348	33845	160109
349	33931	159961
350	33964	159567
351	34067	159498
352	34216	159646
353	34324	159599
354	34355	159198
355	34428	158991
356	34510	158826
357	34595	158675
358	34687	158555
359	34785	158468
360	34895	158430
361	35001	158374
362	35077	158187
363	35184	158135
364	35285	158057
365	35389	157995
366	35476	157854
367	35571	157753
368	35663	157634
369	35766	157566
370	35870	157500
371	35954	157347
372	36003	157043
373	36093	156918
374	36201	156874
375	36288	156734
376	36399	156702
377	36492	156588
378	36595	156519
379	36685	156396
380	36771	156255
381	36857	156113
382	36922	155883
383	37017	155782
384	37123	155724
385	37230	155673
386	37331	155594
387	37380	155302
388	37464	155156
389	37566	155080
390	37669	155012
391	37766	154918
392	37844	154746
393	37932	154619
394	37975	154305
395	38062	154172
396	38180	154166
397	38271	154048
398	38366	153948
399	38490	153960
400	38582	153849
401	38669	153714
402	38772	153646
403	38900	153677
404	38979	153511
405	39091	153478
406	39188	153385
407	39289	153304
408	39380	153190
409	39497	153173
410	39603	153115
411	39806	153427
412	39904	153338
413	40000	153239
414	40145	153327
415	40235	153204
416	40270	152874
417	40373	152799
418	40472	152713
419	40568	152614
420	40696	152634
421	40777	152479
422	40898	152473
423	41063	152630
424	41174	152588
425	41283	152535
426	41378	152433
427	41473	152328
428	41561	152198
429	41659	152104
430	41757	152011
431	41891	152051
432	41977	151912
433	42069	151799
434	42159	151675
435	42273	151641
436	42368	151537
437	42467	151446
438	42563	151348
439	42662	151257
440	42757	151153
441	42869	151108
442	43088	151442
443	43236	151522
444	43365	151535
445	43460	151429
446	43554	151318
447	43648	151211
448	43766	151183
449	43906	151233
450	44010	151158
451	44131	151140
452	44246	151103
453	44353	151036
454	44459	150968
